t_s,Ta_C,Ca_kgkg
0.0,28.000000,0.01963000
60.0,28.528000,0.02002000
120.0,29.192000,0.02053000
180.0,29.684000,0.02100000
240.0,30.037000,0.02151000
300.0,30.834000,0.02191000
360.0,31.293000,0.02233000
420.0,31.820000,0.02278000
480.0,32.121000,0.02325000
540.0,32.730000,0.02377000
600.0,33.202000,0.02428000
660.0,33.879000,0.02465000
720.0,34.268000,0.02506000
780.0,34.806000,0.02552000
840.0,35.142000,0.02612000
900.0,35.524000,0.02660000
960.0,36.091000,0.02687000
1020.0,36.354000,0.02732000
1080.0,37.067000,0.02793000
1140.0,37.419000,0.02826000
1200.0,37.882000,0.02891000
1260.0,38.134000,0.02921000
1320.0,38.767000,0.02961000
1380.0,39.125000,0.03029000
1440.0,39.458000,0.03051000
1500.0,39.595000,0.03098000
1560.0,40.061000,0.03137000
1620.0,40.238000,0.03179000
1680.0,40.621000,0.03219000
1740.0,41.166000,0.03262000
1800.0,41.513000,0.03307000
1860.0,41.918000,0.03345000
1920.0,41.952000,0.03403000
1980.0,42.263000,0.03447000
2040.0,42.589000,0.03476000
2100.0,42.745000,0.03513000
2160.0,42.985000,0.03558000
2220.0,43.393000,0.03609000
2280.0,43.534000,0.03646000
2340.0,43.970000,0.03653000
2400.0,44.102000,0.03694000
2460.0,44.503000,0.03731000
2520.0,44.663000,0.03766000
2580.0,44.701000,0.03812000
2640.0,45.138000,0.03840000
2700.0,45.323000,0.03858000
2760.0,45.324000,0.03903000
2820.0,45.462000,0.03940000
2880.0,45.818000,0.03954000
2940.0,45.739000,0.04013000
3000.0,45.930000,0.04011000
3060.0,45.999000,0.04076000
3120.0,46.512000,0.04070000
3180.0,46.602000,0.04128000
3240.0,46.761000,0.04157000
3300.0,46.933000,0.04187000
3360.0,46.912000,0.04205000
3420.0,47.089000,0.04229000
3480.0,47.008000,0.04247000
3540.0,47.111000,0.04277000
3600.0,47.485000,0.04272000
3660.0,47.498000,0.04312000
