t_s,R_cm,R_m
0.0,2.00000,0.02000000
1800.0,1.87300,0.01873000
3600.0,1.79400,0.01794000
5400.0,1.70300,0.01703000
7200.0,1.62500,0.01625000
9000.0,1.58900,0.01589000
10800.0,1.55200,0.01552000
12600.0,1.51000,0.01510000
14400.0,1.47700,0.01477000
16200.0,1.44700,0.01447000
18000.0,1.42400,0.01424000
19800.0,1.39700,0.01397000
21600.0,1.37400,0.01374000
23400.0,1.35600,0.01356000
25200.0,1.33700,0.01337000
27000.0,1.32100,0.01321000
28800.0,1.31100,0.01311000
30600.0,1.29900,0.01299000
32400.0,1.29100,0.01291000
34200.0,1.28100,0.01281000
36000.0,1.27300,0.01273000
37800.0,1.26600,0.01266000
39600.0,1.26000,0.01260000
41400.0,1.25300,0.01253000
43200.0,1.24800,0.01248000
45000.0,1.24400,0.01244000
46800.0,1.24000,0.01240000
48600.0,1.23600,0.01236000
50400.0,1.23300,0.01233000
52200.0,1.22900,0.01229000
54000.0,1.22600,0.01226000
55800.0,1.22300,0.01223000
57600.0,1.22100,0.01221000
59400.0,1.21900,0.01219000
61200.0,1.21800,0.01218000
63000.0,1.21600,0.01216000
64800.0,1.21400,0.01214000
66600.0,1.21300,0.01213000
68400.0,1.21200,0.01212000
70200.0,1.21100,0.01211000
72000.0,1.21000,0.01210000
73800.0,1.20900,0.01209000
75600.0,1.20800,0.01208000
77400.0,1.20700,0.01207000
79200.0,1.20600,0.01206000
81000.0,1.20600,0.01206000
82800.0,1.20500,0.01205000
84600.0,1.20500,0.01205000
86400.0,1.20400,0.01204000
88200.0,1.20400,0.01204000
90000.0,1.20300,0.01203000
91800.0,1.20300,0.01203000
93600.0,1.20300,0.01203000
95400.0,1.20300,0.01203000
97200.0,1.20200,0.01202000
99000.0,1.20200,0.01202000
100800.0,1.20200,0.01202000
102600.0,1.20200,0.01202000
104400.0,1.20200,0.01202000
106200.0,1.20100,0.01201000
108000.0,1.20100,0.01201000
109800.0,1.20100,0.01201000
111600.0,1.20100,0.01201000
113400.0,1.20100,0.01201000
115200.0,1.20100,0.01201000
117000.0,1.20100,0.01201000
118800.0,1.20100,0.01201000
120600.0,1.20100,0.01201000
122400.0,1.20100,0.01201000
124200.0,1.20100,0.01201000
126000.0,1.20000,0.01200000
127800.0,1.20000,0.01200000
129600.0,1.20000,0.01200000
131400.0,1.20000,0.01200000
133200.0,1.20000,0.01200000
135000.0,1.20000,0.01200000
136800.0,1.20000,0.01200000
138600.0,1.20000,0.01200000
140400.0,1.20000,0.01200000
142200.0,1.20000,0.01200000
144000.0,1.20000,0.01200000
145800.0,1.20000,0.01200000
147600.0,1.20000,0.01200000
149400.0,1.20000,0.01200000
151200.0,1.20000,0.01200000
153000.0,1.20000,0.01200000
154800.0,1.20000,0.01200000
156600.0,1.20000,0.01200000
158400.0,1.20000,0.01200000
160200.0,1.20000,0.01200000
162000.0,1.20000,0.01200000
163800.0,1.20000,0.01200000
165600.0,1.20000,0.01200000
167400.0,1.20000,0.01200000
169200.0,1.20000,0.01200000
171000.0,1.20000,0.01200000
172800.0,1.20000,0.01200000
174600.0,1.20000,0.01200000
176400.0,1.20000,0.01200000
178200.0,1.20000,0.01200000
180000.0,1.20000,0.01200000
181800.0,1.20000,0.01200000
183600.0,1.20000,0.01200000
185400.0,1.20000,0.01200000
187200.0,1.20000,0.01200000
189000.0,1.20000,0.01200000
190800.0,1.20000,0.01200000
192600.0,1.20000,0.01200000
194400.0,1.20000,0.01200000
196200.0,1.20000,0.01200000
198000.0,1.20000,0.01200000
199800.0,1.20000,0.01200000
201600.0,1.20000,0.01200000
203400.0,1.20000,0.01200000
205200.0,1.20000,0.01200000
207000.0,1.20000,0.01200000
208800.0,1.19900,0.01199000
210600.0,1.19900,0.01199000
212400.0,1.19900,0.01199000
214200.0,1.19900,0.01199000
216000.0,1.19900,0.01199000
217800.0,1.19900,0.01199000
219600.0,1.19900,0.01199000
221400.0,1.19900,0.01199000
223200.0,1.19900,0.01199000
225000.0,1.19900,0.01199000
226800.0,1.19900,0.01199000
228600.0,1.19900,0.01199000
230400.0,1.19900,0.01199000
232200.0,1.19900,0.01199000
234000.0,1.19900,0.01199000
235800.0,1.19900,0.01199000
237600.0,1.19900,0.01199000
239400.0,1.19900,0.01199000
241200.0,1.19800,0.01198000
243000.0,1.19800,0.01198000
244800.0,1.19800,0.01198000
246600.0,1.19800,0.01198000
248400.0,1.19800,0.01198000
250200.0,1.19800,0.01198000
252000.0,1.19800,0.01198000
253800.0,1.19800,0.01198000
255600.0,1.19800,0.01198000
257400.0,1.19800,0.01198000
259200.0,1.19800,0.01198000
