t_h,C_axis,C_surf,C_bar,T_axis,T_surf,R_cm,C_max
0.000000,2.550000,2.499675,2.549846,28.000000,28.000000,2.000000,2.552250
0.083333,2.550000,1.666754,2.504325,28.003069,28.794225,1.978833,2.550000
0.166667,2.550000,1.449849,2.467198,28.090715,30.000263,1.957667,2.550000
0.250000,2.550000,1.296491,2.433854,28.420127,31.407956,1.936500,2.550000
0.333333,2.550000,1.238152,2.402818,29.051432,32.925165,1.915333,2.550000
0.416667,2.550000,1.177445,2.373173,29.938904,34.426266,1.894167,2.550000
0.500000,2.550000,1.131803,2.344588,31.046444,35.915661,1.873000,2.550000
0.583333,2.550000,1.095570,2.316839,32.299818,37.317938,1.859833,2.550000
0.666667,2.550000,1.066618,2.289847,33.644505,38.696095,1.846667,2.550000
0.750000,2.550000,1.042576,2.263379,35.024087,40.006653,1.833500,2.550000
0.833333,2.550000,1.020981,2.237344,36.408270,41.108188,1.820333,2.550000
0.916667,2.550000,1.002469,2.211693,37.755211,42.243572,1.807167,2.550000
1.000000,2.550000,0.984984,2.186352,39.052247,43.173018,1.794000,2.550000
1.083333,2.550000,0.969394,2.161276,40.276441,44.082984,1.778833,2.550000
1.166667,2.549999,0.954297,2.136432,41.418672,44.812219,1.763667,2.549999
1.250000,2.549995,0.940128,2.111783,42.469910,45.501170,1.748500,2.549995
1.333333,2.549983,0.926797,2.087330,43.425263,46.182217,1.733333,2.549983
1.416667,2.549950,0.913273,2.063050,44.295103,46.644264,1.718167,2.549950
1.500000,2.549873,0.900243,2.038940,45.068489,47.137889,1.703000,2.549873
1.583333,2.549712,0.887388,2.015009,45.752304,47.577581,1.690000,2.549712
1.666667,2.549412,0.874738,1.991271,46.357958,47.986879,1.677000,2.549412
1.750000,2.548884,0.862348,1.967721,46.895236,48.302115,1.664000,2.548884
1.833333,2.548023,0.849703,1.944358,47.370043,48.541908,1.651000,2.548023
1.916667,2.546725,0.837378,1.921182,47.774495,48.774655,1.638000,2.546725
2.000000,2.544838,0.825371,1.898189,48.124626,48.985898,1.625000,2.544838
2.083333,2.542279,0.812487,1.875443,48.424463,49.092153,1.619000,2.542279
2.166667,2.538954,0.799683,1.853001,48.666512,49.236544,1.613000,2.538954
2.250000,2.534840,0.787191,1.830827,48.877269,49.361120,1.607000,2.534840
2.333333,2.529790,0.774786,1.808956,49.062440,49.470281,1.601000,2.529790
2.416667,2.523756,0.762744,1.787376,49.220385,49.573580,1.595000,2.523756
2.500000,2.516694,0.750702,1.766090,49.353689,49.663098,1.589000,2.516694
2.583333,2.508663,0.739080,1.745067,49.465861,49.720770,1.582833,2.508663
2.666667,2.499567,0.727749,1.724322,49.560914,49.776974,1.576667,2.499567
2.750000,2.489462,0.716459,1.703839,49.644363,49.802834,1.570500,2.489462
2.833333,2.478339,0.705719,1.683617,49.710923,49.868128,1.564333,2.478339
2.916667,2.466201,0.694737,1.663661,49.765832,49.829525,1.558167,2.466201
3.000000,2.453197,0.684694,1.643935,49.805450,49.965344,1.552000,2.453197
3.083333,2.439281,0.674638,1.624438,49.858388,49.966100,1.545000,2.439281
3.166667,2.424529,0.664783,1.605160,49.896905,49.981633,1.538000,2.424529
3.250000,2.408969,0.654897,1.586095,49.920115,49.918220,1.531000,2.408969
3.333333,2.392638,0.645626,1.567247,49.932082,49.984451,1.524000,2.392638
3.416667,2.375614,0.636324,1.548596,49.949407,49.915324,1.517000,2.375614
3.500000,2.357895,0.627378,1.530159,49.947820,49.972807,1.510000,2.357895
3.583333,2.339572,0.618677,1.511931,49.950607,50.005462,1.504500,2.339572
3.666667,2.320732,0.609889,1.493910,49.961689,49.965757,1.499000,2.320732
3.750000,2.301418,0.601523,1.476087,49.970100,50.006305,1.493500,2.301418
3.833333,2.281626,0.592964,1.458480,49.981005,49.940590,1.488000,2.281626
3.916667,2.261435,0.585055,1.441070,49.979968,50.042096,1.482500,2.261435
4.000000,2.240892,0.576954,1.423848,49.996494,50.005907,1.477000,2.240892
4.083333,2.219981,0.569126,1.406853,49.996531,49.996814,1.472000,2.219981
4.166667,2.198769,0.561459,1.390086,49.996455,49.997450,1.467000,2.198769
4.250000,2.177305,0.553964,1.373539,49.996823,49.997798,1.462000,2.177305
4.333333,2.155658,0.546614,1.357177,49.997209,49.998043,1.457000,2.155658
4.416667,2.133850,0.539410,1.341005,49.997544,49.998228,1.452000,2.133850
4.500000,2.111934,0.532314,1.324992,49.997830,49.998377,1.447000,2.111934
4.583333,2.089963,0.525257,1.309134,49.998072,49.998501,1.443167,2.089963
4.666667,2.067941,0.518260,1.293433,49.998273,49.998603,1.439333,2.067941
4.750000,2.045876,0.511379,1.277918,49.998431,49.998682,1.435500,2.045876
4.833333,2.023782,0.504599,1.262581,49.998554,49.998743,1.431667,2.023782
4.916667,2.001687,0.497931,1.247429,49.998648,49.998791,1.427833,2.001687
5.000000,1.979596,0.491387,1.232455,49.998719,49.998826,1.424000,1.979596
5.083333,1.957526,0.484984,1.217657,49.998772,49.998853,1.419500,1.957526
5.166667,1.935482,0.478706,1.203029,49.998811,49.998872,1.415000,1.935482
5.250000,1.913483,0.472542,1.188567,49.998840,49.998887,1.410500,1.913483
5.333333,1.891539,0.466487,1.174269,49.998862,49.998898,1.406000,1.891539
5.416667,1.869665,0.460533,1.160130,49.998878,49.998906,1.401500,1.869665
5.500000,1.847878,0.454665,1.146152,49.998890,49.998912,1.397000,1.847878
5.583333,1.826195,0.448871,1.132336,49.998897,49.998916,1.393167,1.826195
5.666667,1.804630,0.443139,1.118680,49.998903,49.998918,1.389333,1.804630
5.750000,1.783200,0.437463,1.105184,49.998906,49.998920,1.385500,1.783200
5.833333,1.761897,0.431878,1.091843,49.998908,49.998921,1.381667,1.761897
5.916667,1.740744,0.426361,1.078659,49.998911,49.998922,1.377833,1.740744
6.000000,1.719751,0.420911,1.065628,49.998914,49.998924,1.374000,1.719751
6.083333,1.698929,0.415522,1.052753,49.998917,49.998926,1.371000,1.698929
6.166667,1.678286,0.410185,1.040038,49.998919,49.998927,1.368000,1.678286
6.250000,1.657833,0.404898,1.027480,49.998921,49.998928,1.365000,1.657833
6.333333,1.637583,0.399660,1.015078,49.998923,49.998929,1.362000,1.637583
6.416667,1.617530,0.394484,1.002831,49.998926,49.998930,1.359000,1.617530
6.500000,1.597668,0.389385,0.990735,49.998928,49.998931,1.356000,1.597668
6.583333,1.578014,0.384354,0.978792,49.998929,49.998932,1.352833,1.578014
6.666667,1.558572,0.379394,0.967001,49.998931,49.998932,1.349667,1.558572
6.750000,1.539333,0.374500,0.955357,49.998932,49.998933,1.346500,1.539333
6.833333,1.520297,0.369673,0.943859,49.998933,49.998933,1.343333,1.520297
6.916667,1.501472,0.364915,0.932507,49.998933,49.998934,1.340167,1.501472
7.000000,1.482859,0.360228,0.921297,49.998934,49.998934,1.337000,1.482859
7.083333,1.464462,0.355579,0.910234,49.998934,49.998934,1.334333,1.464462
7.166667,1.446284,0.350980,0.899315,49.998934,49.998934,1.331667,1.446284
7.250000,1.428326,0.346425,0.888537,49.998934,49.998934,1.329000,1.428326
7.333333,1.410590,0.341914,0.877902,49.998934,49.998934,1.326333,1.410590
7.416667,1.393079,0.337454,0.867411,49.998934,49.998934,1.323667,1.393079
7.500000,1.375794,0.333039,0.857062,49.998934,49.998934,1.321000,1.375794
7.583333,1.358738,0.328667,0.846855,49.998934,49.998934,1.319333,1.358738
7.666667,1.341913,0.324339,0.836790,49.998934,49.998934,1.317667,1.341913
7.750000,1.325319,0.320059,0.826867,49.998934,49.998934,1.316000,1.325319
7.833333,1.308961,0.315824,0.817087,49.998934,49.998934,1.314333,1.308961
7.916667,1.292839,0.311634,0.807448,49.998934,49.998934,1.312667,1.292839
8.000000,1.276946,0.307499,0.797948,49.998934,49.998934,1.311000,1.276946
8.083333,1.261278,0.303429,0.788584,49.998934,49.998934,1.309000,1.261278
8.166667,1.245833,0.299424,0.779355,49.998934,49.998934,1.307000,1.245833
8.250000,1.230608,0.295494,0.770259,49.998934,49.998934,1.305000,1.230608
8.333333,1.215603,0.291616,0.761295,49.998934,49.998934,1.303000,1.215603
8.416667,1.200816,0.287793,0.752461,49.998934,49.998934,1.301000,1.200816
8.500000,1.186240,0.284028,0.743755,49.998934,49.998934,1.299000,1.186240
8.583333,1.171872,0.280315,0.735175,49.998934,49.998934,1.297667,1.171872
8.666667,1.157723,0.276631,0.726724,49.998934,49.998934,1.296333,1.157723
8.750000,1.143784,0.272981,0.718399,49.998934,49.998934,1.295000,1.143784
8.833333,1.130055,0.269359,0.710199,49.998934,49.998934,1.293667,1.130055
8.916667,1.116531,0.265773,0.702122,49.998934,49.998934,1.292333,1.116531
9.000000,1.103208,0.262261,0.694166,49.998934,49.998934,1.291000,1.103208
9.083333,1.090084,0.258803,0.686331,49.998934,49.998934,1.289333,1.090084
9.166667,1.077158,0.255404,0.678615,49.998934,49.998934,1.287667,1.077158
9.250000,1.064424,0.252068,0.671015,49.998934,49.998934,1.286000,1.064424
9.333333,1.051880,0.248798,0.663527,49.998934,49.998934,1.284333,1.051880
9.416667,1.039522,0.245597,0.656151,49.998934,49.998934,1.282667,1.039522
9.500000,1.027349,0.242469,0.648884,49.998934,49.998934,1.281000,1.027349
9.583333,1.015360,0.239383,0.641727,49.998934,49.998934,1.279667,1.015360
9.666667,1.003554,0.236333,0.634678,49.998934,49.998934,1.278333,1.003554
