id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t2_q3_fix_cur_outer_d_m100_w050,2,3,False,0.0,current_dry_density,outer,-0.1,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m100_w050,reached,reached,candidate minus reference,0.097732232872469,0.902267767127531,0.0974854985314918,0.902514501468508,208847.9288783893,224233.2293903026,-15385.300511913287,-0.06861293731418139,True,131875.18135069867,138615.71627969434,-6740.534928995679,-0.04862749412479927,True,76972.74752769063,85617.51311060827,-8644.765582917636,-0.10096959452383958,True,both_critical_reached,-0.00974854985314918,fixed material-label mask,153853.00511913287,1578214.2722430872,67405.3492899568,691439.7557107646,86447.65582917636,886774.5165323254
t2_q3_fix_cur_outer_d_m050_w050,2,3,False,0.0,current_dry_density,outer,-0.05,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m050_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275308,0.0974854985314918,0.902514501468508,207853.0686656048,215344.4310706387,-7491.3624050338985,-0.034787815815754866,True,130758.40843039472,134035.5113691528,-3277.102938758093,-0.02444951270960191,True,77094.66023521006,81308.9197014859,-4214.259466275835,-0.05183022332295015,True,both_critical_reached,-0.00487427492657459,fixed material-label mask,149827.24810067797,1536918.3145970951,65542.05877516186,672326.2409535618,84285.1893255167,864592.0736435392
t2_q3_fix_cur_outer_d_p050_w050,2,3,False,0.0,current_dry_density,outer,0.05,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p050_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275312,0.0974854985314918,0.9025145014685082,206005.41434567876,198896.7769712796,7108.637374399143,0.03574033467332464,True,128666.33646943336,125566.31196857162,3100.024500861735,0.024688345562284646,True,77339.07787624536,73330.46500270799,4008.612873537364,0.054665040967479636,True,both_critical_reached,0.00487427492657459,fixed material-label mask,142172.74748798285,1458398.9375820367,62000.4900172347,635997.0554718557,80172.25747074728,822401.8821101722
t2_q3_fix_cur_outer_d_p100_w050,2,3,False,0.0,current_dry_density,outer,0.1,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p100_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275312,0.0974854985314918,0.902514501468508,205147.900407529,191294.42589484036,13853.474512688641,0.07241964551703281,True,127686.59742437876,121654.7832398994,6031.814184479357,0.049581397655239,True,77461.30298315025,69639.64265494094,7821.660328209313,0.1123162042482762,True,both_critical_reached,0.00974854985314918,fixed material-label mask,138534.7451268864,1421080.5423755823,60318.14184479357,618739.6356731801,78216.60328209313,802340.9067024053
t2_q3_fix_cur_outer_d_m100_w100,2,3,False,0.0,current_dry_density,outer,-0.1,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m100_w100,reached,reached,candidate minus reference,0.1882747500923046,0.8117252499076951,0.1899221034235859,0.810077896576414,210745.7374603712,222332.66466992363,-11586.927209552436,-0.052115271621263816,True,133589.38724841902,136886.27173724593,-3296.8844888269086,-0.024084843914481794,True,77156.35021195217,85446.3929326777,-8290.042720725527,-0.09702039414650497,True,both_critical_reached,-0.018992210342358592,fixed material-label mask,115869.27209552436,610088.3994376342,32968.84488826909,173591.40560242327,82900.42720725527,436496.9938352109
t2_q3_fix_cur_outer_d_m050_w100,2,3,False,0.0,current_dry_density,outer,-0.05,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m050_w100,reached,reached,candidate minus reference,0.1882747500923045,0.811725249907695,0.1899221034235859,0.810077896576414,208777.47313693768,214419.291588016,-5641.818451078318,-0.026312084184656647,True,131594.762788528,133195.37772144645,-1600.6149329184555,-0.012017045638519425,True,77182.71034840969,81223.91386656952,-4041.203518159833,-0.0497538634348317,True,both_critical_reached,-0.009496105171179296,fixed material-label mask,112836.36902156635,594119.2045978231,32012.29865836911,168554.8868789202,80824.07036319666,425564.31771889975
t2_q3_fix_cur_outer_d_p050_w100,2,3,False,0.0,current_dry_density,outer,0.05,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p050_w100,reached,reached,candidate minus reference,0.1882747500923046,0.8117252499076951,0.1899221034235859,0.810077896576414,205127.49459627407,199773.9048762604,5353.589720013668,0.02679824336081167,True,127869.31847123869,126359.64279728686,1509.6756739518314,0.01194745126316744,True,77258.17612503539,73414.26207897355,3843.9140460618364,0.05235922744720695,True,both_critical_reached,0.009496105171179296,fixed material-label mask,107071.79440027336,563766.8942696451,30193.51347903663,158978.40711934204,76878.28092123673,404788.48715030303
t2_q3_fix_cur_outer_d_p100_w100,2,3,False,0.0,current_dry_density,outer,0.1,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p100_w100,reached,reached,candidate minus reference,0.1882747500923046,0.8117252499076951,0.1899221034235859,0.8100778965764142,203436.15652193048,193002.96919933552,10433.187322594953,0.05405713376263888,True,126129.85052071548,123197.0348575233,2932.8156631921884,0.023805894894986506,True,77306.30600121501,69805.93434181223,7500.371659402779,0.10744604638735163,True,both_critical_reached,0.018992210342358592,fixed material-label mask,104331.87322594953,549340.3418835179,29328.156631921884,154422.02936490698,75003.71659402779,394918.31251861167
t2_q3_fix_cur_outer_d_m100_w200,2,3,False,0.0,current_dry_density,outer,-0.1,0.2,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m100_w200,reached,reached,candidate minus reference,0.3602724265923158,0.6397275734076843,0.3596737359837844,0.6403262640162157,214287.5063031487,218787.528765626,-4500.022462477296,-0.020568002609042225,True,136221.49772453468,134251.63884775093,1969.85887678375,0.014672885140848694,True,78066.00857861401,84535.88991787503,-6469.881339261017,-0.07653413651345459,True,both_critical_reached,-0.03596737359837844,fixed material-label mask,45000.22462477296,125114.01340353015,-19698.5887678375,-54767.93770876168,64698.81339261017,179881.95111229102
t2_q3_fix_cur_outer_d_m050_w200,2,3,False,0.0,current_dry_density,outer,-0.05,0.2,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_m050_w200,reached,reached,candidate minus reference,0.3602724265923158,0.6397275734076843,0.3596737359837844,0.6403262640162157,210502.23143108387,212693.6649182088,-2191.4334871249157,-0.010303238171045809,True,132875.85126331667,131913.6281427225,962.2231205941644,0.007294342018651004,True,77626.3801677672,80780.03677548625,-3153.656607719051,-0.03904004917061475,True,both_critical_reached,-0.01798368679918922,fixed material-label mask,43828.669742498314,121856.74225730592,-19244.462411883287,-53505.331322693266,63073.13215438102,175362.07357999755
t2_q3_fix_cur_outer_d_p050_w200,2,3,False,0.0,current_dry_density,outer,0.05,0.2,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p050_w200,reached,reached,candidate minus reference,0.3602724265923158,0.6397275734076843,0.3596737359837844,0.6403262640162158,203490.43279907928,201410.04714938955,2080.385649689735,0.010329105618781146,True,126654.52842593036,127573.71476884122,-919.1863429108635,-0.007205138962805893,True,76835.90437314891,73836.33238054832,2999.571992600584,0.040624607099130516,True,both_critical_reached,0.01798368679918922,fixed material-label mask,41607.7129937947,115681.82169317626,-18383.72685821727,-51112.23038828191,59991.43985201168,166794.05208145737
t2_q3_fix_cur_outer_d_p100_w200,2,3,False,0.0,current_dry_density,outer,0.1,0.2,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q3_fix_cur_inner_d_p100_w200,reached,reached,candidate minus reference,0.3602724265923158,0.6397275734076843,0.3596737359837844,0.6403262640162158,200245.38036091052,196189.97361473023,4055.4067461802915,0.02067081549306965,True,123763.10670674336,125560.80333350431,-1797.6966267609532,-0.014317339321141955,True,76482.27365416719,70629.17028122595,5853.103372941245,0.08287090659051771,True,both_critical_reached,0.03596737359837844,fixed material-label mask,40554.067461802915,112752.37362238554,-17976.966267609532,-49981.31492264425,58531.03372941245,162733.68854502979
t2_q4_mov_cur_outer_d_m100_w050,2,4,True,0.0,current_dry_density,outer,-0.1,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_m100_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275312,0.0974854985314918,0.902514501468508,185647.63862514863,199223.08406346093,-13575.445438312308,-0.06814192994817789,True,127787.66841767964,134886.67247812,-7099.0040604403475,-0.05262939569950381,True,57859.97020746903,64336.41158534095,-6476.4413778719245,-0.10066525655197688,True,both_critical_reached,-0.00974854985314918,fixed material-label mask,135754.45438312308,1392560.498003391,70990.04060440348,728211.2896152528,64764.413778719245,664349.2083881347
t2_q4_mov_cur_outer_d_m050_w050,2,4,True,0.0,current_dry_density,outer,-0.05,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_m050_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275312,0.0974854985314919,0.902514501468508,184761.68612315448,191374.69476349352,-6613.008640339045,-0.03455529294775151,True,126817.10734204872,130272.99336910498,-3455.886027056258,-0.02652803115734533,True,57944.57878110577,61101.70139438854,-3157.1226132827724,-0.05166996239441405,True,both_critical_reached,-0.004874274926574595,fixed material-label mask,132260.1728067809,1356716.3814016432,69117.72054112516,709005.1503280484,63142.45226565545,647711.2310735917
t2_q4_mov_cur_outer_d_p050_w050,2,4,True,0.0,current_dry_density,outer,0.05,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_p050_w050,reached,reached,candidate minus reference,0.097732232872469,0.902267767127531,0.0974854985314919,0.9025145014685084,183116.4242259485,176836.09895275248,6280.325273196009,0.03551495034322151,True,125002.94853538644,121720.2574270698,3282.6911083166488,0.026969143655348526,True,58113.475690562045,55115.841525682685,2997.6341648793605,0.05438788707385577,True,both_critical_reached,0.004874274926574595,fixed material-label mask,125606.50546392018,1288463.4879652795,65653.82216633298,673472.7026617608,59952.68329758721,614990.7853035185
t2_q4_mov_cur_outer_d_p100_w050,2,4,True,0.0,current_dry_density,outer,0.1,0.05,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_p100_w050,reached,reached,candidate minus reference,0.097732232872469,0.9022677671275308,0.0974854985314918,0.902514501468508,182352.8487224205,170108.79514689185,12244.05357552864,0.07197778083699724,True,124154.48258745672,117758.85426986808,6395.628317588635,0.054311230839014166,True,58198.366134963726,52349.94087702376,5848.425257939969,0.11171789614201506,True,both_critical_reached,0.00974854985314918,fixed material-label mask,122440.5357552864,1255987.173474146,63956.28317588635,656059.4564249559,58484.25257939969,599927.7170491864
t2_q4_mov_cur_outer_d_m100_w100,2,4,True,0.0,current_dry_density,outer,-0.1,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_m100_w100,reached,reached,candidate minus reference,0.1882747500923046,0.8117252499076951,0.189922103423586,0.810077896576414,187346.2021300362,197527.92772903197,-10181.725598995778,-0.05154575211745768,True,129369.89006883877,133297.3836217984,-3927.493552959626,-0.029464145853777695,True,57976.31206119743,64230.54410723355,-6254.2320460361225,-0.09737161864290948,True,both_critical_reached,-0.018992210342358602,fixed material-label mask,101817.25598995778,536100.0860593528,39274.93552959626,206794.9692090383,62542.320460361225,329305.116850313
t2_q4_mov_cur_outer_d_m050_w100,2,4,True,0.0,current_dry_density,outer,-0.05,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_m050_w100,reached,reached,candidate minus reference,0.1882747500923046,0.811725249907695,0.189922103423586,0.8100778965764142,185588.98303185444,190548.23110407632,-4959.248072221875,-0.02602620892089606,True,127588.90969518368,129499.4742648028,-1910.5645696191204,-0.014753454255052529,True,58000.07333667077,61048.75683927353,-3048.6835026027547,-0.04993850260750099,True,both_critical_reached,-0.009496105171179301,fixed material-label mask,99184.9614444375,522240.2219462779,38211.29139238241,201194.54609850867,60973.670052055095,321045.6758477692
t2_q4_mov_cur_outer_d_p050_w100,2,4,True,0.0,current_dry_density,outer,0.05,0.1,0.2,0.02,outer minus complementary inner; unequal dry-mass support,t2_q4_mov_cur_inner_d_p050_w100,reached,reached,candidate minus reference,0.1882747500923046,0.811725249907695,0.1899221034235859,0.8100778965764142,182330.91613170816,177622.28392377868,4708.632207929477,0.026509242556243935,True,124266.8391080612,122454.79935999653,1812.0397480646789,0.01479762130627144,True,58064.07702364697,55167.48456378217,2896.592459864798,0.05250542928989064,True,both_critical_reached,0.009496105171179296,fixed material-label mask,94172.64415858954,495848.7846385893,36240.79496129358,190819.25856973702,57931.84919729596,305029.5260688523
