id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t1_q4_mov_cur_eps_m150,1,4,True,-0.15,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,217091.9206685628,183918.6712734305,33173.2493951323,0.18036912275107664,True,158798.00237248663,125889.68387967676,32908.31849280988,0.2614059983204271,True,58293.918296076125,58028.98739375375,264.9309023223759,0.004565492424065514,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_m100,1,4,True,-0.1,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,205063.0692415737,183918.6712734305,21144.397968143225,0.11496602178420487,True,147052.72019486298,125889.68387967676,21163.036315186226,0.16810778820775735,True,58010.34904671073,58028.98739375375,-18.63834704301553,-0.00032119028575400857,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_m050,1,4,True,-0.05,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,193996.0879060064,183918.6712734305,10077.416632575914,0.05479278728364613,True,136083.66312572453,125889.68387967676,10193.979246047777,0.08097549324050261,True,57912.42478028184,58028.98739375375,-116.56261347190593,-0.002008696320702173,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_z000,1,4,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,183918.6712734305,183918.6712734305,0.0,0.0,True,125889.68387967676,125889.68387967676,0.0,0.0,True,58028.98739375375,58028.98739375375,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_p050,1,4,True,0.05,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,174839.14034080284,183918.6712734305,-9079.530932627647,-0.04936709725968593,True,116451.83210196222,125889.68387967676,-9437.851777714532,-0.07496922294868158,True,58387.30823884062,58028.98739375375,358.32084508686967,0.006174859517287379,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_p100,1,4,True,0.1,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,166762.69250813697,183918.6712734305,-17155.97876529352,-0.0932802452655166,True,107775.7910998321,125889.68387967676,-18113.892779844653,-0.1438870304667506,True,58986.90140830487,58028.98739375375,957.9140145511192,0.016507508705110186,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_cur_eps_p150,1,4,True,0.15,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,159689.4410407866,183918.6712734305,-24229.230232643895,-0.13173882817271163,True,99839.74123381726,125889.68387967676,-26049.942645859497,-0.2069267460450341,True,59849.699806969336,58028.98739375375,1820.7124132155877,0.03137591219473131,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_m150,1,4,True,-0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,230610.4207545807,200479.49357444764,30130.92718013306,0.15029431012077055,True,172608.1361305541,142965.3502083724,29642.785922181705,0.20734244961438042,True,58002.28462402659,57514.14336607524,488.14125795135624,0.008487325540856213,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_m100,1,4,True,-0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,219634.89461178103,200479.49357444764,19155.401037333388,0.09554793208922423,True,161976.1160020556,142965.3502083724,19010.76579368321,0.132974638721725,True,57658.77860972541,57514.14336607524,144.6352436501693,0.0025147769780655815,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_m050,1,4,True,-0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,209597.88471910355,200479.49357444764,9118.391144655907,0.04548291190325564,True,152098.35974441073,142965.3502083724,9133.009536038327,0.06388267872408902,True,57499.52497469282,57514.14336607524,-14.618391382420668,-0.00025417037491761265,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_z000,1,4,True,0.0,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,200479.49357444764,200479.49357444764,0.0,0.0,True,142965.3502083724,142965.3502083724,0.0,0.0,True,57514.14336607524,57514.14336607524,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p050,1,4,True,0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,192284.2197387755,200479.49357444764,-8195.273835672153,-0.04087836461253258,True,134566.34623059566,142965.3502083724,-8399.003977776738,-0.058748528685693184,True,57717.87350817982,57514.14336607524,203.73014210458496,0.003542261610467719,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p100,1,4,True,0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,185003.92312668063,200479.49357444764,-15475.570447767008,-0.0771927850167887,True,126889.41466663366,142965.3502083724,-16075.935541738741,-0.11244637612056362,True,58114.50846004697,57514.14336607524,600.3650939717336,0.010438564478834947,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_mov_ini_eps_p150,1,4,True,0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_mov_ini_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,178623.52824026725,200479.49357444764,-21855.965334180393,-0.10901845841936061,True,119913.19093551008,142965.3502083724,-23052.15927286232,-0.1612429811787523,True,58710.337304757166,57514.14336607524,1196.1939386819286,0.020798257066408896,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q3_fix_cur_eps_z000,1,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q3_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,206906.38550188617,206906.38550188617,0.0,0.0,True,129689.56695340588,129689.56695340588,0.0,0.0,True,77216.8185484803,77216.8185484803,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q3_mov_cur_eps_z000,1,3,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q3_mov_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,90866.25131538058,90866.25131538058,0.0,0.0,True,62718.617655138056,62718.617655138056,0.0,0.0,True,28147.63366024252,28147.63366024252,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t1_q4_fix_cur_eps_z000,1,4,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t1_q4_fix_cur_eps_z000,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,467454.7465515726,467454.7465515726,0.0,0.0,True,306090.56863397505,306090.56863397505,0.0,0.0,True,161364.17791759752,161364.17791759752,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
t2_q3_fix_cur_baseline,2,3,False,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.0,0.0,0.0,0.0,206906.37119180989,206906.37119180989,0.0,0.0,True,129689.55266173928,129689.55266173928,0.0,0.0,True,77216.8185300706,77216.8185300706,0.0,0.0,True,both_critical_reached,0.0,no diffusion perturbation,,,,,,
