id,profile_path,profile_samples,profile_nodes,profile_start_s,profile_end_s,profile_weighted_fraction_time_average,profile_support_fraction_time_average,profile_weighted_fraction_initial,profile_weighted_fraction_end,profile_support_fraction_initial,profile_support_fraction_end,profile_mean_C_end,profile_max_C_end,profile_mass_fraction_C_above_015_end,profile_min_T_C,profile_max_T_C
t1_q4_mov_cur_eps_m150,results/profiles/t1_q4_mov_cur_eps_m150.npz,393,321,0.0,217091.92066856276,0.0,0.0,0.0,0.0,0.0,0.0,0.12380542376031599,0.15,0.0,28.0,50.013955536884225
t1_q4_mov_cur_eps_m100,results/profiles/t1_q4_mov_cur_eps_m100.npz,379,321,0.0,205063.0692415737,0.0,0.0,0.0,0.0,0.0,0.0,0.122182975844367,0.15,0.0,28.0,50.01401357925209
t1_q4_mov_cur_eps_m050,results/profiles/t1_q4_mov_cur_eps_m050.npz,366,321,0.0,193996.08790600637,0.0,0.0,0.0,0.0,0.0,0.0,0.12038701886452814,0.15,0.0,28.0,50.01409152855794
t1_q4_mov_cur_eps_z000,results/profiles/t1_q4_mov_cur_eps_z000.npz,354,321,0.0,183918.67127343052,0.0,0.0,0.0,0.0,0.0,0.0,0.11840393973564305,0.15,0.0,28.0,50.014191560281404
t1_q4_mov_cur_eps_p050,results/profiles/t1_q4_mov_cur_eps_p050.npz,344,321,0.0,174839.14034080284,0.0,0.0,0.0,0.0,0.0,0.0,0.11622535938582608,0.15,0.0,28.0,50.01431610438346
t1_q4_mov_cur_eps_p100,results/profiles/t1_q4_mov_cur_eps_p100.npz,335,321,0.0,166762.69250813697,0.0,0.0,0.0,0.0,0.0,0.0,0.11384732472595267,0.15,0.0,28.0,50.01446787550767
t1_q4_mov_cur_eps_p150,results/profiles/t1_q4_mov_cur_eps_p150.npz,326,321,0.0,159689.4410407866,0.0,0.0,0.0,0.0,0.0,0.0,0.11127194083772898,0.15,0.0,28.0,50.014649902617656
t1_q4_mov_ini_eps_m150,results/profiles/t1_q4_mov_ini_eps_m150.npz,408,321,0.0,230610.4207545807,0.0,0.0,0.0,0.0,0.0,0.0,0.12398082338094853,0.15,0.0,28.0,50.012117180951314
t1_q4_mov_ini_eps_m100,results/profiles/t1_q4_mov_ini_eps_m100.npz,396,321,0.0,219634.89461178103,0.0,0.0,0.0,0.0,0.0,0.0,0.12239854935533223,0.15,0.0,28.0,50.01188353203439
t1_q4_mov_ini_eps_m050,results/profiles/t1_q4_mov_ini_eps_m050.npz,384,321,0.0,209597.88471910355,0.0,0.0,0.0,0.0,0.0,0.0,0.12064959925225015,0.15,0.0,28.0,50.011650906124906
t1_q4_mov_ini_eps_z000,results/profiles/t1_q4_mov_ini_eps_z000.npz,374,321,0.0,200479.49357444764,0.0,0.0,0.0,0.0,0.0,0.0,0.11872594126373262,0.15,0.0,28.0,50.01141937132172
t1_q4_mov_ini_eps_p050,results/profiles/t1_q4_mov_ini_eps_p050.npz,364,321,0.0,192284.2197387755,0.0,0.0,0.0,0.0,0.0,0.0,0.11662006266393087,0.15,0.0,28.0,50.01118895244776
t1_q4_mov_ini_eps_p100,results/profiles/t1_q4_mov_ini_eps_p100.npz,356,321,0.0,185003.92312668063,0.0,0.0,0.0,0.0,0.0,0.0,0.11432958688444889,0.15,0.0,28.0,50.01095962215184
