q3_id,q4_id,perturb_kind,logD_delta,region_width,C_cut,C_smooth,q3_tcritical_h,q4_tcritical_h,q3_minus_q4_h
t2_q3_fix_cur_baseline,t2_q4_mov_cur_baseline,none,0.0,0.1,0.2,0.02,57.473991997724966,51.088515271785276,6.385476725939694
t2_q3_fix_cur_outer_d_m100_w050,t2_q4_mov_cur_outer_d_m100_w050,outer,-0.1,0.05,0.2,0.02,58.01331357733036,51.56878850698574,6.444525070344623
t2_q3_fix_cur_outer_d_m050_w050,t2_q4_mov_cur_outer_d_m050_w050,outer,-0.05,0.05,0.2,0.02,57.73696351822355,51.32269058976513,6.414272928458417
t2_q3_fix_cur_outer_d_p050_w050,t2_q4_mov_cur_outer_d_p050_w050,outer,0.05,0.05,0.2,0.02,57.22372620713298,50.8656733960968,6.358052811036178
t2_q3_fix_cur_outer_d_p100_w050,t2_q4_mov_cur_outer_d_p100_w050,outer,0.1,0.05,0.2,0.02,56.98552789098028,50.65356908956124,6.331958801419039
t2_q3_fix_cur_outer_d_m100_w100,t2_q4_mov_cur_outer_d_m100_w100,outer,-0.1,0.1,0.2,0.02,58.540482627880884,52.040611702787835,6.499870925093055
t2_q3_fix_cur_outer_d_m050_w100,t2_q4_mov_cur_outer_d_m050_w100,outer,-0.05,0.1,0.2,0.02,57.99374253803825,51.55249528662623,6.441247251412012
t2_q3_fix_cur_outer_d_p050_w100,t2_q4_mov_cur_outer_d_p050_w100,outer,0.05,0.1,0.2,0.02,56.97985961007613,50.647476703252266,6.332382906823866
t2_q3_fix_cur_outer_d_p100_w100,t2_q4_mov_cur_outer_d_p100_w100,outer,0.1,0.1,0.2,0.02,56.510043478314024,50.228171571511126,6.281871906802892
t2_q3_fix_cur_outer_d_m100_w200,t2_q4_mov_cur_outer_d_m100_w200,outer,-0.1,0.2,0.2,0.02,59.524307306430195,52.92690583700338,6.597401469426808
t2_q3_fix_cur_outer_d_m050_w200,t2_q4_mov_cur_outer_d_m050_w200,outer,-0.05,0.2,0.2,0.02,58.47284206418996,51.9841301857645,6.488711878425464
t2_q3_fix_cur_outer_d_p050_w200,t2_q4_mov_cur_outer_d_p050_w200,outer,0.05,0.2,0.2,0.02,56.52512022196647,50.23774204972806,6.287378172238403
t2_q3_fix_cur_outer_d_p100_w200,t2_q4_mov_cur_outer_d_p100_w200,outer,0.1,0.2,0.2,0.02,55.6237167669196,49.42952762629947,6.19418914062013
t2_q3_fix_cur_inner_d_m100_w050,t2_q4_mov_cur_inner_d_m100_w050,inner,-0.1,0.05,0.2,0.02,62.28700816397295,55.33974557318359,6.9472625907893555
t2_q3_fix_cur_inner_d_m050_w050,t2_q4_mov_cur_inner_d_m050_w050,inner,-0.05,0.05,0.2,0.02,59.81789751962186,53.159637434303754,6.658260085318107
t2_q3_fix_cur_inner_d_p050_w050,t2_q4_mov_cur_inner_d_p050_w050,inner,0.05,0.05,0.2,0.02,55.24910471424434,49.1211385979868,6.127966116257538
t2_q3_fix_cur_inner_d_p100_w050,t2_q4_mov_cur_inner_d_p100_w050,inner,0.1,0.05,0.2,0.02,53.13734052634454,47.252443096358846,5.884897429985689
t2_q3_fix_cur_inner_d_m100_w100,t2_q4_mov_cur_inner_d_m100_w100,inner,-0.1,0.1,0.2,0.02,61.75907351942323,54.86886881361998,6.890204705803246
t2_q3_fix_cur_inner_d_m050_w100,t2_q4_mov_cur_inner_d_m050_w100,inner,-0.05,0.1,0.2,0.02,59.56091433000444,52.930064195576755,6.630850134427682
t2_q3_fix_cur_inner_d_p050_w100,t2_q4_mov_cur_inner_d_p050_w100,inner,0.05,0.1,0.2,0.02,55.49275135451678,49.33952331216074,6.153228042356035
t2_q3_fix_cur_inner_d_p100_w100,t2_q4_mov_cur_inner_d_p100_w100,inner,0.1,0.1,0.2,0.02,53.61193588870431,47.678541625981104,5.9333942627232075
t2_q3_fix_cur_inner_d_m100_w200,t2_q4_mov_cur_inner_d_m100_w200,inner,-0.1,0.2,0.2,0.02,60.774313546007214,53.983930837189625,6.790382708817584
t2_q3_fix_cur_inner_d_m050_w200,t2_q4_mov_cur_inner_d_m050_w200,inner,-0.05,0.2,0.2,0.02,59.08157358839132,52.498743802296836,6.582829786094484
t2_q3_fix_cur_inner_d_p050_w200,t2_q4_mov_cur_inner_d_p050_w200,inner,0.05,0.2,0.2,0.02,55.947235319274874,49.7495289531138,6.197706366161074
t2_q3_fix_cur_inner_d_p100_w200,t2_q4_mov_cur_inner_d_p100_w200,inner,0.1,0.2,0.2,0.02,54.49721489298063,48.47818001471996,6.019034878260669
t2_q3_fix_cur_lowC_d_m100_c150_s020,t2_q4_mov_cur_lowC_d_m100_c150_s020,lowC,-0.1,0.1,0.15,0.02,59.51957299261069,52.70055452857361,6.81901846403708
t2_q3_fix_cur_lowC_d_m050_c150_s020,t2_q4_mov_cur_lowC_d_m050_c150_s020,lowC,-0.05,0.1,0.15,0.02,58.48568533343589,51.88631386353504,6.599371469900855
t2_q3_fix_cur_lowC_d_p050_c150_s020,t2_q4_mov_cur_lowC_d_p050_c150_s020,lowC,0.05,0.1,0.15,0.02,56.48396781302004,50.306821219110525,6.177146593909517
t2_q3_fix_cur_lowC_d_p100_c150_s020,t2_q4_mov_cur_lowC_d_p100_c150_s020,lowC,0.1,0.1,0.15,0.02,55.51513588078328,49.54084222819287,5.974293652590406
t2_q3_fix_cur_lowC_d_m100_c200_s020,t2_q4_mov_cur_lowC_d_m100_c200_s020,lowC,-0.1,0.1,0.2,0.02,61.3583460904222,54.01877346081793,7.339572629604267
t2_q3_fix_cur_lowC_d_m050_c200_s020,t2_q4_mov_cur_lowC_d_m050_c200_s020,lowC,-0.05,0.1,0.2,0.02,59.37315911791111,52.52311423431381,6.850044883597301
t2_q3_fix_cur_lowC_d_p050_c200_s020,t2_q4_mov_cur_lowC_d_p050_c200_s020,lowC,0.05,0.1,0.2,0.02,55.656938945955254,49.71227792502825,5.944661020926999
t2_q3_fix_cur_lowC_d_p100_c200_s020,t2_q4_mov_cur_lowC_d_p100_c200_s020,lowC,0.1,0.1,0.2,0.02,53.91832327390543,48.391772195484464,5.52655107842097
t2_q3_fix_cur_lowC_d_m100_c300_s020,t2_q4_mov_cur_lowC_d_m100_c300_s020,lowC,-0.1,0.1,0.3,0.02,62.143872733378025,54.7574898980242,7.38638283535383
t2_q3_fix_cur_lowC_d_m050_c300_s020,t2_q4_mov_cur_lowC_d_m050_c300_s020,lowC,-0.05,0.1,0.3,0.02,59.75182601319822,52.880310334923664,6.87151567827455
t2_q3_fix_cur_lowC_d_p050_c300_s020,t2_q4_mov_cur_lowC_d_p050_c300_s020,lowC,0.05,0.1,0.3,0.02,55.30501644621679,49.37815324043431,5.926863205782485
t2_q3_fix_cur_lowC_d_p100_c300_s020,t2_q4_mov_cur_lowC_d_p100_c300_s020,lowC,0.1,0.1,0.3,0.02,53.23978889980851,47.745429388276015,5.4943595115324895
t2_q3_fix_cur_global_d_m100,t2_q4_mov_cur_global_d_m100,global,-0.1,0.1,0.2,0.02,62.829007017045626,55.820720229874844,7.008286787170785
t2_q3_fix_cur_global_d_m050,t2_q4_mov_cur_global_d_m050,global,-0.05,0.1,0.2,0.02,60.08153926513521,53.39398167392619,6.687557591209027
t2_q3_fix_cur_global_d_p050,t2_q4_mov_cur_global_d_p050,global,0.05,0.1,0.2,0.02,54.99950666738041,48.89845643930935,6.10105022807106
t2_q3_fix_cur_global_d_p100,t2_q4_mov_cur_global_d_p100,global,0.1,0.1,0.2,0.02,52.651537843508315,46.81821000031909,5.833327843189222
t2_q3_fix_cur_lowC_d_m100_c200_s010,t2_q4_mov_cur_lowC_d_m100_c200_s010,lowC,-0.1,0.1,0.2,0.01,61.406802488627235,54.0501810959597,7.356621392667536
t2_q3_fix_cur_lowC_d_p100_c200_s010,t2_q4_mov_cur_lowC_d_p100_c200_s010,lowC,0.1,0.1,0.2,0.01,53.87639693864509,48.36364867725927,5.512748261385819
t2_q3_fix_cur_lowC_d_m100_c200_s040,t2_q4_mov_cur_lowC_d_m100_c200_s040,lowC,-0.1,0.1,0.2,0.04,61.14182676052757,53.8777358207685,7.264090939759068
t2_q3_fix_cur_lowC_d_p100_c200_s040,t2_q4_mov_cur_lowC_d_p100_c200_s040,lowC,0.1,0.1,0.2,0.04,54.09922142506291,48.51083463881895,5.5883867862439605
